 ship_site, rcv_site_num,lead_time,schd_delv_qty,first_cost,sales,ship_lat,ship_long, rcv_site_num,rcv_lat,rcv_long,mch_2_cd
D003,413,0,10,18.44,34.95,43.4257,-80.3779,413,47.8436,-83.4025,2
D003,554,-0.5,18,68.24,124.05,43.4257,-80.3779,554,43.9257,-80.0918,3
D003,2655,0,10,29.5,51.92,43.4257,-80.3779,2655,42.8825,-82.1497,3
D003,512,-0.055,27,82.71,141.86,43.4257,-80.3779,512,44.473,-80.0731,1
D003,3123,0,28,44.28,54.84,43.4257,-80.3779,3123,43.2519,-79.8526,1
D003,563,0,15,44.11,83.52,43.4257,-80.3779,563,44.5756,-80.9242,1
D003,3481,0,21,29.52,36.56,43.4257,-80.3779,3481,43.94917,-80.09799,2
D003,1341,0,21,33.2,41.13,43.4257,-80.3779,1341,43.3708,-80.7031,3
D003,1027,-0.15,26,67.54,129.36,43.4257,-80.3779,1027,43.0282,-81.2821,1
D037,3996,0,17,44.29,65.88,49.9123,-97.1832,3996,49.862,-97.3154,2
D003,78,0,30,108.78,196.32,43.4257,-80.3779,78,43.327,-79.8316,3
D003,3465,0,34,51.66,63.98,43.4257,-80.3779,3465,46.3809,-82.6334,3
D003,270,-0.58,17,18.43,22.85,43.4257,-80.3779,270,43.7422,-79.5857,2
D003,2812,-0.65,31,109.54,192.31,43.4257,-80.3779,2812,42.977,-81.3229,2
D003,3454,0,5,14.75,18.28,43.4257,-80.3779,3454,43.5679,-79.6668,3
D003,3104,0,27,51.66,63.98,43.4257,-80.3779,3104,43.6395,-80.0251,3
D003,543,0,19,55.82,100.07,43.4257,-80.3779,543,43.1811,-80.2785,3
D037,9082,0,19,55.23,79.52,49.9123,-97.1832,9082,50.1424,-96.8727,3
D003,529,-0.055,30,42.73,76.5,43.4257,-80.3779,529,42.312,-82.9381,3
D003,532,0,22,64.8,110.42,43.4257,-80.3779,532,43.7327,-81.688,3
D003,1344,0,14,14.76,18.28,43.4257,-80.3779,1344,43.6934,-79.771,1
D003,2639,0,3,13.02,23.98,43.4257,-80.3779,2639,46.3179,-79.4422,1
D037,3442,0,32,88.58,131.76,49.9123,-97.1832,3442,49.9268,-97.1235,3
D003,524,0,21,73.11,129.02,43.4257,-80.3779,524,43.4536,-80.5559,1
D003,533,-0.5,19,40.65,77.73,43.4257,-80.3779,533,43.3913,-80.3156,3
D003,2823,0.205,34,102.68,173.83,43.4257,-80.3779,2823,42.9673,-81.6343,1
D003,836,0,10,14.75,25.96,43.4257,-80.3779,836,43.4665,-81.1942,1
D003,513,0,13,27.57,46.32,43.4257,-80.3779,513,43.3943,-80.4314,1
D037,1503,-0.315,56,160.77,238.91,49.9123,-97.1832,1503,49.5433,-96.6915,3
D003,3928,0,16,29.47,36.56,43.4257,-80.3779,3928,43.5431,-79.6825,2
D003,3119,0,27,44.28,54.84,43.4257,-80.3779,3119,43.3934,-80.304,3
D003,2635,0,8,18.43,34.95,43.4257,-80.3779,2635,45.9163,-82.4635,3
